Day,CO2,Index,Date
77,1182.81,77,17 March 2024
78,1195.93,78,18 March 2024
79,1277.44,79,19 March 2024
80,1051.1,80,20 March 2024
81,1233.81,81,21 March 2024
82,1066.48,82,22 March 2024
83,1447.42,83,23 March 2024
84,1439.57,84,24 March 2024
85,1166.85,85,25 March 2024
86,1123.02,86,26 March 2024
87,1305.88,87,27 March 2024
88,1359.58,88,28 March 2024
89,1467.55,89,29 March 2024
90,1038.65,90,30 March 2024
91,1447.23,91,31 March 2024
92,1134.63,92,01 April 2024
93,1216.58,93,02 April 2024
94,1389.52,94,03 April 2024
95,1364.01,95,04 April 2024
96,1231.67,96,05 April 2024
97,1161.8,97,06 April 2024
98,1483.67,98,07 April 2024
99,1451.92,99,08 April 2024
100,1100.98,100,09 April 2024
101,1041.04,101,10 April 2024
102,1245.0,102,11 April 2024
103,1401.08,103,12 April 2024
104,1021.89,104,13 April 2024
105,1336.62,105,14 April 2024
106,1307.99,106,15 April 2024
107,1104.7,107,16 April 2024
108,1476.8,108,17 April 2024
109,1264.83,109,18 April 2024
110,1129.07,110,19 April 2024
111,1475.96,111,20 April 2024
112,1031.07,112,21 April 2024
113,1489.9,113,22 April 2024
114,1081.94,114,23 April 2024
115,1234.92,115,24 April 2024
116,1301.93,116,25 April 2024
117,1048.93,117,26 April 2024
118,1457.82,118,27 April 2024
119,1285.05,119,28 April 2024
120,1287.95,120,29 April 2024
121,1252.22,121,30 April 2024
122,1087.01,122,01 May 2024
123,1097.21,123,02 May 2024
124,1123.26,124,03 May 2024
125,1418.9,125,04 May 2024
126,1176.85,126,05 May 2024
127,1080.84,127,06 May 2024
128,1345.23,128,07 May 2024
129,1139.61,129,08 May 2024
130,1190.76,130,09 May 2024
131,1384.15,131,10 May 2024
132,1385.35,132,11 May 2024
133,1235.92,133,12 May 2024
134,1495.03,134,13 May 2024
135,1005.14,135,14 May 2024
136,1003.0,136,15 May 2024
137,1123.09,137,16 May 2024
138,1191.32,138,17 May 2024
139,1375.4,139,18 May 2024
140,1155.79,140,19 May 2024
141,1080.2,141,20 May 2024
142,1063.91,142,21 May 2024
143,1373.13,143,22 May 2024
144,1285.31,144,23 May 2024
145,1183.21,145,24 May 2024
146,1408.29,146,25 May 2024
147,1263.01,147,26 May 2024
148,1140.28,148,27 May 2024
149,1261.27,149,28 May 2024
150,1000.63,150,29 May 2024
151,1323.37,151,30 May 2024
152,1241.56,152,31 May 2024
153,1185.36,153,01 June 2024
154,1363.75,154,02 June 2024
155,1482.91,155,03 June 2024
156,1181.02,156,04 June 2024
157,1442.06,157,05 June 2024
158,1091.58,158,06 June 2024
159,1439.19,159,07 June 2024
160,1028.95,160,08 June 2024
161,1491.55,161,09 June 2024
162,1234.51,162,10 June 2024
163,1405.96,163,11 June 2024
164,1228.66,164,12 June 2024
165,1417.47,165,13 June 2024
166,1230.49,166,14 June 2024
167,1324.71,167,15 June 2024
168,1155.65,168,16 June 2024
169,1439.21,169,17 June 2024
170,1210.25,170,18 June 2024
171,1066.36,171,19 June 2024
172,1356.85,172,20 June 2024
173,1341.77,173,21 June 2024
174,1241.53,174,22 June 2024
175,1241.85,175,23 June 2024
176,1454.91,176,24 June 2024
177,1078.27,177,25 June 2024
178,1469.05,178,26 June 2024
179,1231.72,179,27 June 2024
180,1177.66,180,28 June 2024
181,1423.11,181,29 June 2024
182,1001.57,182,30 June 2024
183,1403.85,183,01 July 2024
184,1357.36,184,02 July 2024
185,1130.57,185,03 July 2024
186,1468.38,186,04 July 2024
187,1136.2,187,05 July 2024
188,1037.09,188,06 July 2024
189,1310.71,189,07 July 2024
190,1497.61,190,08 July 2024
191,1027.66,191,09 July 2024
192,1216.88,192,10 July 2024
193,1431.64,193,11 July 2024
194,1116.34,194,12 July 2024
195,1401.71,195,13 July 2024
196,1223.45,196,14 July 2024
197,1379.67,197,15 July 2024
198,1323.09,198,16 July 2024
199,1278.79,199,17 July 2024
200,1307.78,200,18 July 2024
201,1179.73,201,19 July 2024
202,1354.4,202,20 July 2024
203,1434.33,203,21 July 2024
204,1003.88,204,22 July 2024
205,1407.7,205,23 July 2024
206,1318.13,206,24 July 2024
207,1423.75,207,25 July 2024
208,1494.6,208,26 July 2024
209,1213.8,209,27 July 2024
210,1356.97,210,28 July 2024
211,1479.82,211,29 July 2024
212,1427.4,212,30 July 2024
213,1213.86,213,31 July 2024
214,1304.81,214,01 August 2024
215,1266.17,215,02 August 2024
216,1011.56,216,03 August 2024
217,1232.94,217,04 August 2024
218,1463.56,218,05 August 2024
219,1466.08,219,06 August 2024
220,1126.49,220,07 August 2024
221,1478.31,221,08 August 2024
222,1128.86,222,09 August 2024
223,1174.83,223,10 August 2024
224,1174.78,224,11 August 2024
225,1192.11,225,12 August 2024
226,1101.98,226,13 August 2024
227,1203.66,227,14 August 2024
228,1030.3,228,15 August 2024
229,1334.27,229,16 August 2024
230,1040.9,230,17 August 2024
231,1110.65,231,18 August 2024
232,1104.36,232,19 August 2024
233,1461.18,233,20 August 2024
234,1246.0,234,21 August 2024
235,1233.62,235,22 August 2024
236,1444.51,236,23 August 2024
237,1278.68,237,24 August 2024
238,1325.05,238,25 August 2024
239,1180.81,239,26 August 2024
240,1203.69,240,27 August 2024
241,1000.86,241,28 August 2024
242,1315.06,242,29 August 2024
243,1473.28,243,30 August 2024
244,1469.0,244,31 August 2024
245,1034.22,245,01 September 2024
246,1136.23,246,02 September 2024
247,1416.5,247,03 September 2024
248,1025.06,248,04 September 2024
249,1169.26,249,05 September 2024
250,1378.14,250,06 September 2024
251,1396.71,251,07 September 2024
252,1006.6,252,08 September 2024
253,1120.97,253,09 September 2024
254,1324.4,254,10 September 2024
255,1296.22,255,11 September 2024
256,1134.14,256,12 September 2024
257,1187.01,257,13 September 2024
258,1210.59,258,14 September 2024
259,1137.57,259,15 September 2024
260,1014.17,260,16 September 2024
261,1124.36,261,17 September 2024
262,1138.1,262,18 September 2024
263,1214.27,263,19 September 2024
264,1340.11,264,20 September 2024
265,1407.1,265,21 September 2024
266,1336.12,266,22 September 2024
267,1282.23,267,23 September 2024
268,1130.29,268,24 September 2024
269,1301.34,269,25 September 2024
270,1243.27,270,26 September 2024
271,1463.96,271,27 September 2024
272,1492.0,272,28 September 2024
273,1305.33,273,29 September 2024
274,1193.8,274,30 September 2024
275,1432.47,275,01 October 2024
276,1308.9,276,02 October 2024
277,1405.61,277,03 October 2024
278,1339.11,278,04 October 2024
279,1018.23,279,05 October 2024
280,1375.69,280,06 October 2024
281,1097.58,281,07 October 2024
282,1248.03,282,08 October 2024
283,1100.27,283,09 October 2024
284,1457.76,284,10 October 2024
285,1376.7,285,11 October 2024
286,1366.48,286,12 October 2024
287,1132.19,287,13 October 2024
288,1258.51,288,14 October 2024
289,1447.38,289,15 October 2024
290,1203.68,290,16 October 2024
291,1386.23,291,17 October 2024
292,1024.96,292,18 October 2024
293,1305.07,293,19 October 2024
294,1071.0,294,20 October 2024
295,1268.65,295,21 October 2024
296,1353.33,296,22 October 2024
297,1006.18,297,23 October 2024
298,1465.11,298,24 October 2024
299,1178.61,299,25 October 2024
300,1497.66,300,26 October 2024
301,1051.08,301,27 October 2024
302,1447.47,302,28 October 2024
303,1297.3,303,29 October 2024
304,1203.78,304,30 October 2024
305,1088.5,305,31 October 2024
306,1001.43,306,01 November 2024
307,1416.67,307,02 November 2024
308,1084.16,308,03 November 2024
309,1320.08,309,04 November 2024
310,1085.06,310,05 November 2024
311,1306.64,311,06 November 2024
312,1364.82,312,07 November 2024
313,1122.64,313,08 November 2024
314,1411.9,314,09 November 2024
315,1455.88,315,10 November 2024
316,1216.99,316,11 November 2024
317,1391.02,317,12 November 2024
318,1083.55,318,13 November 2024
319,1042.49,319,14 November 2024
320,1336.29,320,15 November 2024
321,1191.19,321,16 November 2024
322,1292.07,322,17 November 2024
323,1096.49,323,18 November 2024
324,1369.75,324,19 November 2024
325,1300.84,325,20 November 2024
326,1317.67,326,21 November 2024
327,1164.85,327,22 November 2024
328,1119.99,328,23 November 2024
329,1351.27,329,24 November 2024
330,1248.35,330,25 November 2024
331,1212.56,331,26 November 2024
332,1268.05,332,27 November 2024
333,1285.3,333,28 November 2024
334,1124.35,334,29 November 2024
335,1062.67,335,30 November 2024
336,1404.28,336,01 December 2024
337,1498.82,337,02 December 2024
338,1115.9,338,03 December 2024
339,1116.08,339,04 December 2024
340,1337.28,340,05 December 2024
341,1454.81,341,06 December 2024
342,1271.18,342,07 December 2024
343,1255.43,343,08 December 2024
344,1218.07,344,09 December 2024
345,1303.87,345,10 December 2024
346,1408.09,346,11 December 2024
347,1092.81,347,12 December 2024
348,1077.64,348,13 December 2024
349,1432.79,349,14 December 2024
350,1340.01,350,15 December 2024
351,1343.93,351,16 December 2024
352,1396.98,352,17 December 2024
353,1412.5,353,18 December 2024
354,1474.88,354,19 December 2024
355,1367.82,355,20 December 2024
356,1176.16,356,21 December 2024
357,1482.89,357,22 December 2024
358,1369.86,358,23 December 2024
359,1468.91,359,24 December 2024
360,1051.14,360,25 December 2024
361,1170.24,361,26 December 2024
362,1243.79,362,27 December 2024
363,1332.05,363,28 December 2024
364,1326.15,364,29 December 2024
365,1433.53,365,30 December 2024
